"Quadro 1.2 - População residente por nacionalidade, por local de residência (NUTS I/II/III/Município), Portugal, 2021",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"NUTS I, II, III
Município",População residente ,,,,15 Principais nacionalidades estrangeiras ,,,,,,,,,,,,,,
,Total ,Nacionalidade portuguesa ,Nacionalidade estrangeira,Apátrida ,Brasil,Angola,Cabo Verde,Reino Unido,Ucrânia,França,China,Guiné-Bissau,Índia,Roménia,Itália,Nepal,Espanha,Alemanha,São Tomé e Príncipe
Armamar, 5 678, 5 600,  78,  ,  26,  ,  1,  ,  2,  6,  4,  ,  2,  ,  6,  ,  4,  4,  
Carrazeda de Ansiães, 5 490, 5 379,  111,  ,  24,  4,  2,  2,  ,  5,  12,  ,  3,  2,  2,  ,  6,  1,  
Freixo de Espada à Cinta, 3 216, 3 150,  66,  ,  8,  9,  ,  ,  ,  4,  7,  ,  ,  2,  ,  ,  4,  1,  1
Lamego, 24 312, 24 141,  171,  ,  49,  15,  4,  2,  5,  5,  19,  ,  1,  1,  5,  10,  10,  3,  1
Mesão Frio, 3 547, 3 531,  16,  ,  4,  1,  ,  1,  3,  1,  ,  ,  ,  ,  ,  ,  3,  ,  
Moimenta da Beira, 9 410, 9 271,  139,  ,  58,  3,  9,  1,  14,  11,  4,  ,  ,  3,  ,  2,  2,  ,  1
Murça, 5 245, 5 189,  56,  ,  13,  6,  ,  1,  ,  8,  2,  ,  ,  ,  2,  ,  12,  ,  
Penedono, 2 738, 2 699,  39,  ,  12,  2,  3,  ,  3,  6,  3,  ,  ,  1,  ,  ,  3,  2,  
Peso da Régua, 14 540, 14 432,  108,  ,  36,  4,  3,  1,  6,  3,  7,  1,  ,  8,  2,  ,  5,  1,  5
Sabrosa, 5 548, 5 489,  59,  ,  19,  2,  ,  ,  ,  1,  2,  ,  ,  1,  ,  ,  6,  1,  
Santa Marta de Penaguião, 6 100, 6 038,  62,  ,  9,  3,  1,  ,  ,  4,  3,  ,  ,  13,  1,  1,  2,  2,  
São João da Pesqueira, 6 775, 6 713,  62,  ,  14,  1,  1,  1,  5,  5,  5,  ,  ,  10,  ,  ,  3,  3,  
Sernancelhe, 5 692, 5 612,  80,  ,  22,  4,  ,  ,  1,  15,  2,  ,  ,  4,  5,  9,  4,  2,  
Tabuaço, 5 034, 4 976,  58,  ,  18,  4,  ,  1,  1,  7,  8,  ,  5,  ,  ,  ,  9,  1,  
Tarouca, 7 363, 7 303,  60,  ,  19,  2,  1,  ,  5,  5,  4,  ,  ,  1,  2,  ,  1,  2,  
Torre de Moncorvo, 6 826, 6 729,  97,  ,  28,  6,  2,  ,  2,  6,  4,  1,  ,  1,  2,  ,  8,  3,  
Vila Nova de Foz Côa, 6 304, 6 144,  160,  ,  31,  6,  ,  1,  25,  16,  2,  3,  ,  26,  ,  ,  6,  1,  
Vila Real, 49 571, 48 828,  739,  4,  361,  46,  7,  11,  29,  31,  49,  1,  1,  5,  15,  ,  50,  10,  4
Terras de Trás-os-Montes, 107 272, 104 105, 3 167,  ,  779,  170,  566,  14,  89,  156,  116,  87,  7,  58,  38,  44,  262,  33,  148
Alfândega da Fé, 4 324, 4 227,  97,  ,  11,  5,  ,  ,  2,  6,  9,  ,  ,  3,  1,  ,  8,  ,  
Bragança, 34 582, 32 985, 1 597,  ,  421,  110,  485,  6,  40,  45,  33,  57,  ,  16,  9,  21,  69,  10,  111
Macedo de Cavaleiros, 14 251, 13 878,  373,  ,  51,  14,  1,  2,  19,  31,  13,  14,  2,  3,  1,  ,  57,  12,  5
Miranda do Douro, 6 463, 6 328,  135,  ,  37,  3,  8,  1,  5,  7,  5,  ,  ,  ,  11,  ,  31,  1,  
Mirandela, 21 384, 20 896,  488,  ,  142,  29,  57,  2,  17,  22,  30,  13,  ,  2,  6,  6,  36,  4,  32
Mogadouro, 8 301, 8 186,  115,  ,  33,  1,  ,  ,  ,  19,  6,  ,  5,  ,  4,  ,  33,  1,  
Vila Flor, 6 050, 5 856,  194,  ,  31,  3,  8,  1,  1,  8,  5,  3,  ,  29,  ,  17,  6,  ,  
Vimioso, 4 149, 4 058,  91,  ,  34,  1,  6,  1,  5,  8,  6,  ,  ,  ,  6,  ,  8,  1,  
Vinhais, 7 768, 7 691,  77,  ,  19,  4,  1,  1,  ,  10,  9,  ,  ,  5,  ,  ,  14,  4,  
Centro,2 227 239,2 143 428, 83 793,  18, 34 120, 3 890, 1 296, 5 262, 5 467, 3 440, 2 281, 1 214, 2 383, 1 519, 1 390, 1 564, 1 512, 1 570,  963
Oeste, 363 511, 342 567, 20 941,  3, 8 343,  760,  223, 1 235, 1 378, 1 003,  441,  425,  705,  641,  320,  858,  240,  365,  104
Alcobaça, 54 965, 52 373, 2 592,  ,  835,  65,  51,  215,  214,  178,  79,  11,  162,  36,  27,  62,  16,  58,  10
Alenquer, 44 442, 41 305, 3 137,  , 1 688,  238,  43,  41,  221,  42,  52,  204,  81,  75,  12,  18,  24,  23,  23
Arruda dos Vinhos, 13 992, 13 264,  728,  ,  463,  11,  6,  13,  55,  5,  18,  5,  8,  46,  5,  3,  17,  2,  
Bombarral, 12 746, 12 083,  663,  ,  163,  56,  2,  45,  56,  44,  24,  15,  32,  65,  6,  34,  6,  11,  
Cadaval, 13 372, 12 834,  537,  1,  139,  12,  11,  52,  52,  62,  8,  7,  12,  17,  8,  31,  9,  10,  
Caldas da Rainha, 50 910, 47 238, 3 670,  2, 1 344,  101,  25,  372,  267,  257,  50,  97,  69,  51,  84,  38,  39,  68,  17
Lourinhã, 26 240, 24 822, 1 418,  ,  561,  42,  7,  67,  79,  86,  26,  6,  32,  52,  29,  46,  11,  58,  5
Nazaré, 14 881, 14 065,  816,  ,  299,  29,  3,  41,  24,  79,  23,  2,  16,  18,  29,  18,  12,  5,  25
