distribuicao_geo_id,localidade_id,nacionalidade_id,populacao_nacional_local,concentracao_relativa,dominio_regional
345,29,15,23,0.95,Baixo
346,29,18,137,5.63,Médio
347,29,8,129,5.3,Médio
348,29,6,89,3.66,Baixo
349,29,9,14,0.58,Baixo
350,29,19,133,5.47,Médio
351,29,10,37,1.52,Baixo
352,29,13,21,0.86,Baixo
353,29,7,48,1.97,Baixo
354,29,1,74,3.04,Baixo
355,29,17,10,0.41,Baixo
356,30,4,141,59.75,Alto
357,30,2,6,2.54,Baixo
358,30,5,3,1.27,Baixo
359,30,15,1,0.42,Baixo
360,30,18,2,0.85,Baixo
361,30,8,11,4.66,Baixo
362,30,6,2,0.85,Baixo
363,30,9,3,1.27,Baixo
364,30,19,2,0.85,Baixo
365,30,10,4,1.69,Baixo
366,30,13,5,2.12,Baixo
367,30,7,3,1.27,Baixo
368,30,1,3,1.27,Baixo
369,30,17,1,0.42,Baixo
370,31,4,28390,53.53,Alto
371,31,2,2689,5.07,Médio
372,31,5,879,1.66,Baixo
373,31,15,853,1.61,Baixo
374,31,18,1506,2.84,Baixo
375,31,8,1865,3.52,Baixo
376,31,6,2307,4.35,Baixo
377,31,9,338,0.64,Baixo
378,31,19,573,1.08,Baixo
379,31,10,1609,3.03,Baixo
380,31,13,227,0.43,Baixo
381,31,7,1738,3.28,Baixo
382,31,1,889,1.68,Baixo
383,31,17,359,0.68,Baixo
384,32,4,132,50.77,Alto
385,32,2,12,4.62,Baixo
386,32,15,10,3.85,Baixo
387,32,18,9,3.46,Baixo
388,32,8,9,3.46,Baixo
389,32,6,6,2.31,Baixo
390,32,9,5,1.92,Baixo
391,32,10,4,1.54,Baixo
392,32,7,13,5.0,Baixo
393,32,1,13,5.0,Baixo
394,32,17,1,0.38,Baixo
395,33,4,346,45.29,Alto
396,33,2,51,6.68,Médio
397,33,5,6,0.79,Baixo
398,33,15,13,1.7,Baixo
399,33,18,32,4.19,Baixo
400,33,8,40,5.24,Médio
401,33,6,21,2.75,Baixo
402,33,9,2,0.26,Baixo
403,33,19,3,0.39,Baixo
404,33,10,23,3.01,Baixo
405,33,7,30,3.93,Baixo
406,33,1,13,1.7,Baixo
407,33,17,1,0.13,Baixo
408,34,4,1769,57.92,Alto
409,34,2,189,6.19,Médio
410,34,5,82,2.69,Baixo
411,34,15,38,1.24,Baixo
412,34,18,103,3.37,Baixo
413,34,8,84,2.75,Baixo
414,34,6,116,3.8,Baixo
415,34,9,28,0.92,Baixo
416,34,19,12,0.39,Baixo
417,34,10,60,1.96,Baixo
418,34,13,3,0.1,Baixo
419,34,7,70,2.29,Baixo
420,34,1,26,0.85,Baixo
421,34,17,34,1.11,Baixo
422,35,4,2111,58.14,Alto
423,35,2,159,4.38,Baixo
424,35,5,66,1.82,Baixo
425,35,15,55,1.51,Baixo
426,35,18,173,4.76,Baixo
427,35,8,84,2.31,Baixo
428,35,6,80,2.2,Baixo
429,35,9,20,0.55,Baixo
430,35,19,24,0.66,Baixo
431,35,10,105,2.89,Baixo
432,35,13,7,0.19,Baixo
433,35,7,98,2.7,Baixo
434,35,1,54,1.49,Baixo
435,35,17,15,0.41,Baixo
436,36,4,3014,57.53,Alto
437,36,2,175,3.34,Baixo
438,36,5,71,1.36,Baixo
439,36,15,113,2.16,Baixo
440,36,18,127,2.42,Baixo
441,36,8,160,3.05,Baixo
442,36,6,205,3.91,Baixo
443,36,9,37,0.71,Baixo
444,36,19,22,0.42,Baixo
445,36,10,175,3.34,Baixo
446,36,13,7,0.13,Baixo
447,36,7,239,4.56,Baixo
448,36,1,96,1.83,Baixo
449,36,17,33,0.63,Baixo
450,37,4,631,48.8,Alto
451,37,2,79,6.11,Médio
452,37,5,8,0.62,Baixo
453,37,15,15,1.16,Baixo
454,37,18,64,4.95,Baixo
455,37,8,38,2.94,Baixo
456,37,6,42,3.25,Baixo
457,37,9,9,0.7,Baixo
458,37,19,29,2.24,Baixo
459,37,10,33,2.55,Baixo
460,37,7,32,2.47,Baixo
461,37,1,12,0.93,Baixo
462,37,17,6,0.46,Baixo
463,38,4,642,53.37,Alto
464,38,2,65,5.4,Médio
465,38,5,13,1.08,Baixo
466,38,15,18,1.5,Baixo
467,38,18,29,2.41,Baixo
468,38,8,70,5.82,Médio
469,38,6,53,4.41,Baixo
470,38,9,1,0.08,Baixo
471,38,19,5,0.42,Baixo
472,38,10,26,2.16,Baixo
473,38,13,4,0.33,Baixo
474,38,7,27,2.24,Baixo
475,38,1,21,1.75,Baixo
476,39,4,7381,50.91,Alto
477,39,2,686,4.73,Baixo
478,39,5,345,2.38,Baixo
479,39,15,312,2.15,Baixo
480,39,18,165,1.14,Baixo
481,39,8,660,4.55,Baixo
482,39,6,407,2.81,Baixo
483,39,9,103,0.71,Baixo
484,39,19,281,1.94,Baixo
485,39,10,622,4.29,Baixo
486,39,13,86,0.59,Baixo
487,39,7,581,4.01,Baixo
488,39,1,262,1.81,Baixo
489,39,17,89,0.61,Baixo
490,40,4,1341,59.23,Alto
491,40,2,60,2.65,Baixo
492,40,5,12,0.53,Baixo
493,40,15,22,0.97,Baixo
494,40,18,66,2.92,Baixo
495,40,8,60,2.65,Baixo
496,40,6,171,7.55,Médio
497,40,9,4,0.18,Baixo
498,40,19,4,0.18,Baixo
499,40,10,49,2.16,Baixo
500,40,13,3,0.13,Baixo
501,40,7,38,1.68,Baixo
502,40,1,32,1.41,Baixo
503,40,17,5,0.22,Baixo
504,41,4,1317,48.0,Alto
505,41,2,137,4.99,Baixo
506,41,5,47,1.71,Baixo
507,41,15,30,1.09,Baixo
508,41,18,111,4.05,Baixo
509,41,8,94,3.43,Baixo
510,41,6,85,3.1,Baixo
511,41,9,7,0.26,Baixo
512,41,19,3,0.11,Baixo
513,41,10,73,2.66,Baixo
514,41,13,1,0.04,Baixo
515,41,7,116,4.23,Baixo
516,41,1,57,2.08,Baixo
517,41,17,86,3.13,Baixo
518,42,4,459,44.01,Alto
519,42,2,59,5.66,Médio
520,42,5,13,1.25,Baixo
521,42,15,7,0.67,Baixo
522,42,18,42,4.03,Baixo
523,42,8,57,5.47,Médio
524,42,6,38,3.64,Baixo
525,42,9,3,0.29,Baixo
526,42,19,5,0.48,Baixo
527,42,10,28,2.68,Baixo
528,42,13,6,0.58,Baixo
529,42,7,32,3.07,Baixo
530,42,1,42,4.03,Baixo
531,42,17,16,1.53,Baixo
532,43,4,635,59.68,Alto
533,43,2,44,4.14,Baixo
534,43,5,6,0.56,Baixo
