Índice;;;Figura 5 e 6;Figura 7 e 8
Nível territorial;Código territorial;Designação;Densidade populacional (N.º/ km²) ;Taxa de variação da população residente (%)
;;;2021;2011-2021
Freguesia;031361;União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);189,09;-10,54
Freguesia;031362;União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);128,72;-0,67
Freguesia;031363;União das freguesias de Esqueiros, Nevogilde e Travassós;183,67;-10,92
Freguesia;031364;União das freguesias de Marrancos e Arcozelo;126,81;-9,46
Freguesia;031365;União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);83,99;-10,86
Freguesia;031366;União das freguesias de Pico de Regalados, Gondiães e Mós;162,96;2,51
Freguesia;031367;União das freguesias de Sande, Vilarinho, Barros e Gomide;113,97;-9,78
Freguesia;031368;União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);96,12;-7,32
Freguesia;031369;União das freguesias do Vade;92,90;-13,36
Freguesia;031355;Valdreu;24,16;-15,89
Freguesia;031342;Vila de Prado;811,96;0,22
Freguesia;031370;Vila Verde e Barbudo;980,85;4,67
NUTS 3;119;Ave;288,32;-1,64
Município;0304;Cabeceiras de Basto;64,34;-6,89
Freguesia;030401;Abadim;31,18;-17,34
Freguesia;030404;Basto;160,04;-4,80
Freguesia;030405;Bucos;26,35;-15,34
Freguesia;030406;Cabeceiras de Basto;25,12;-13,36
Freguesia;030407;Cavez;42,29;-10,65
Freguesia;030408;Faia;107,77;-0,54
Freguesia;030413;Pedraça;57,03;-8,68
Freguesia;030415;Rio Douro;18,93;-13,38
Freguesia;030418;União das freguesias de Alvite e Passos;85,23;-12,25
Freguesia;030419;União das freguesias de Arco de Baúlhe e Vila Nune;215,71;-4,79
Freguesia;030420;União das freguesias de Gondiães e Vilar de Cunhas;8,39;-17,58
Freguesia;030421;União das freguesias de Refojos de Basto, Outeiro e Painzela;227,08;-2,68
Município;0307;Fafe;221,37;-4,22
Freguesia;030705;Armil;147,74;-6,53
Freguesia;030726;Arões (Santa Cristina);392,41;0,78
Freguesia;030730;Arões (São Romão);575,70;-0,06
Freguesia;030708;Estorãos;261,02;2,12
Freguesia;030709;Fafe;1.939,15;-1,58
Freguesia;030712;Fornelos;551,84;-1,60
Freguesia;030714;Golães;430,64;-5,20
Freguesia;030716;Medelo;612,30;-3,68
Freguesia;030719;Paços;247,56;-5,67
Freguesia;030722;Quinchães;204,62;-4,70
Freguesia;030723;Regadas;260,51;-7,47
Freguesia;030724;Revelhe;160,49;-7,18
Freguesia;030725;Ribeiros;109,88;-14,84
Freguesia;030728;São Gens;111,01;-3,52
Freguesia;030729;Silvares (São Martinho);199,68;-5,21
Freguesia;030733;Travassós;177,40;-6,17
Freguesia;030737;União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;28,94;-6,42
Freguesia;030738;União de freguesias de Agrela e Serafão;131,45;2,37
Freguesia;030739;União de freguesias de Antime e Silvares (São Clemente);348,29;-5,18
Freguesia;030740;União de freguesias de Ardegão, Arnozela e Seidões;97,03;-12,37
Freguesia;030741;União de freguesias de Cepães e Fareja;291,20;-4,99
Freguesia;030742;União de freguesias de Freitas e Vila Cova;65,07;-7,09
Freguesia;030743;União de freguesias de Monte e Queimadela;32,35;-17,73
Freguesia;030744;União de freguesias de Moreira do Rei e Várzea Cova;58,85;-18,22
Freguesia;030736;Vinhós;197,92;-11,21
Município;0308;Guimarães;650,80;-0,80
Freguesia;030801;Aldão;824,52;-1,16
Freguesia;030804;Azurém;3.134,14;8,88
Freguesia;030806;Barco;476,49;-4,70
Freguesia;030807;Brito;809,15;-3,34
Freguesia;030808;Caldelas;2.343,49;10,15
Freguesia;030857;Candoso (São Martinho);558,37;-7,91
Freguesia;030812;Costa;1.145,65;4,68
Freguesia;030813;Creixomil;3.225,25;0,69
Freguesia;030815;Fermentões;1.526,33;0,56
Freguesia;030820;Gonça;135,70;-9,23
Freguesia;030821;Gondar;1.028,29;-9,02
Freguesia;030823;Guardizela;614,82;-1,09
Freguesia;030824;Infantas;268,10;-1,36
Freguesia;030827;Longos;184,94;-2,41
Freguesia;030828;Lordelo;792,63;-7,18
Freguesia;030830;Mesão Frio;1.007,02;-0,34
Freguesia;030831;Moreira de Cónegos;985,38;-4,16
Freguesia;030832;Nespereira;702,98;0,62
Freguesia;030835;Pencelo;508,33;-3,02
Freguesia;030836;Pinheiro;588,08;-8,02
Freguesia;030837;Polvoreira;1.077,51;1,43
Freguesia;030838;Ponte;1.112,65;1,16
Freguesia;030842;Prazins (Santa Eufémia);568,16;3,77
Freguesia;030840;Ronfe;895,62;0,76
Freguesia;030858;Sande (São Martinho);678,48;-11,61
Freguesia;030865;São Torcato;321,94;-0,83
Freguesia;030850;Selho (São Cristóvão);803,76;-9,29
Freguesia;030854;Selho (São Jorge);1.139,04;3,39
Freguesia;030866;Serzedelo;664,98;-5,84
Freguesia;030868;Silvares;501,11;-1,40
Freguesia;030875;União das freguesias de Abação e Gémeos;398,51;-0,45
Freguesia;030876;União das freguesias de Airão Santa Maria, Airão São João e Vermil;429,55;-12,14
Freguesia;030877;União das freguesias de Arosa e Castelões;126,63;-13,60
