Índice;;;Figura 11, 12, 13 e 14;Figura 17;Figura 18 ;Figura 20;Figura 28;Figura 29;Figura 30;Figura 31
Nível territorial;Código territorial;Designação;Habitantes por alojamento familiar clássico (N.º);Taxa de atração de população residente proveniente do estrangeiro (%);Taxa de atração de população residente proveniente de outro município (%);Taxa migratória interna (%);Proporção de população residente empregada que utiliza automóvel nos movimentos casa-trabalho (%);Duração média dos movimentos casa-trabalho da população empregada (min);Duração média dos movimentos casa-trabalho da população empregada que utiliza o transporte automóvel (min);Duração média dos movimentos casa-trabalho da população empregada que utiliza o transporte coletivo (min)
Município;0612;Pampilhosa da Serra;0,73;2,0;9,3;1,2;74,4;17,6;9,2;49,3
Município;0613;Penacova;1,57;1,0;7,4;-0,2;84,4;20,7;6,8;34,3
Município;0614;Penela;1,25;1,4;8,9;1,1;82,0;16,7;7,5;33,1
Município;0615;Soure;1,53;1,0;8,3;0,7;82,6;22,2;8,1;49,4
Município;0616;Tábua;1,28;1,2;8,6;1,4;83,2;14,5;6,9;33,1
Município;0617;Vila Nova de Poiares;1,53;0,9;9,0;2,0;85,3;16,3;6,6;40,9
NUTS 3;16F;Região de Leiria;1,65;1,5;6,3;0,5;85,5;15,1;6,5;35,1
Município;1002;Alvaiázere;1,09;1,7;10,8;1,0;83,0;16,9;8,1;45,5
Município;1003;Ansião;1,36;1,3;8,1;0,8;84,2;17,0;7,0;35,7
Município;1004;Batalha;1,84;1,4;8,3;0,6;89,6;14,6;6,2;36,3
Município;1007;Castanheira de Pêra;0,99;1,2;9,7;0,9;78,9;14,5;8,7;46,5
Município;1008;Figueiró dos Vinhos;1,08;1,6;6,9;-0,2;82,3;15,3;7,5;52,8
Município;1009;Leiria;1,83;1,5;5,0;0,2;86,3;14,8;6,4;33,7
Município;1010;Marinha Grande;1,77;1,4;6,4;0,5;84,6;13,7;6,3;30,5
Município;1013;Pedrógão Grande;0,95;2,6;10,5;1,3;77,3;13,8;8,0;44,0
Município;1015;Pombal;1,51;1,8;6,7;0,7;84,2;16,3;6,4;40,8
Município;1016;Porto de Mós;1,76;1,3;8,3;1,2;85,6;15,6;6,5;28,2
NUTS 3;16G;Viseu Dão Lafões;1,47;1,6;6,5;0,4;83,0;15,4;7,2;32,7
Município;0901;Aguiar da Beira;1,04;1,8;9,3;1,2;78,2;12,9;7,1;40,7
Município;1802;Carregal do Sal;1,34;1,4;7,2;0,3;82,8;14,4;7,2;35,9
Município;1803;Castro Daire;1,06;1,8;6,9;0,1;73,2;16,1;8,1;47,0
Município;1806;Mangualde;1,43;1,6;6,9;0,4;86,2;14,7;6,5;33,6
Município;1809;Nelas;1,48;1,4;7,0;0,8;84,9;14,9;6,9;37,5
Município;1810;Oliveira de Frades;1,59;1,3;8,5;0,1;83,2;15,2;6,9;30,3
Município;1811;Penalva do Castelo;1,30;1,9;7,8;0,6;80,1;16,2;6,1;34,6
Município;1814;Santa Comba Dão;1,49;1,3;8,4;1,4;83,1;15,6;7,1;41,4
Município;1816;São Pedro do Sul;1,29;1,5;7,3;0,3;81,5;16,3;7,2;35,3
Município;1817;Sátão;1,17;1,6;7,8;0,6;82,4;17,3;7,1;35,4
Município;1821;Tondela;1,47;1,6;7,4;0,4;83,7;15,2;6,6;38,5
Município;1822;Vila Nova de Paiva;1,00;2,6;8,6;0,7;76,8;15,2;7,4;30,4
Município;1823;Viseu;1,76;1,5;4,7;0,0;83,9;15,3;7,4;27,9
Município;1824;Vouzela;1,43;1,4;9,2;1,6;82,3;17,7;7,3;33,4
NUTS 3;16H;Beira Baixa;1,09;1,4;5,7;0,6;75,3;14,1;7,9;28,9
Município;0502;Castelo Branco;1,32;1,2;4,0;0,0;76,7;13,8;7,9;28,2
Município;0505;Idanha-a-Nova;0,68;1,9;9,3;0,8;65,1;14,1;7,7;32,1
Município;0506;Oleiros;0,97;1,4;8,3;2,3;75,6;15,0;8,4;28,8
Município;0507;Penamacor;0,70;2,1;10,6;2,0;69,6;14,5;7,9;21,4
Município;0508;Proença-a-Nova;1,10;1,6;7,2;0,9;76,7;16,7;7,9;36,9
Município;0511;Vila Velha de Ródão;0,93;1,4;9,7;4,3;73,3;13,3;7,0;38,5
NUTS 3;16I;Médio Tejo;1,43;1,2;7,3;0,8;80,7;17,1;7,4;58,5
Município;1401;Abrantes;1,37;0,8;6,0;-0,1;81,6;17,0;7,8;50,1
Município;1402;Alcanena;1,55;1,0;7,7;0,5;82,9;14,5;6,9;53,6
Município;1408;Constância;1,73;0,8;11,1;0,2;81,1;18,1;7,5;67,2
Município;1410;Entroncamento;1,85;1,4;8,0;0,9;72,1;22,1;8,7;68,9
Município;1411;Ferreira do Zêzere;1,04;1,4;9,6;1,3;80,6;15,2;7,8;45,2
Município;1413;Mação;0,96;1,4;8,9;2,5;75,8;15,5;7,8;52,5
Município;1421;Ourém;1,49;1,6;7,0;1,2;83,1;15,6;6,3;44,1
Município;1417;Sardoal;1,22;1,0;8,9;0,9;70,9;15,6;7,6;68,1
Município;0509;Sertã;1,22;1,6;7,7;1,1;85,0;14,5;7,2;38,9
Município;1418;Tomar;1,40;1,2;6,5;0,4;78,5;17,5;7,5;58,1
Município;1419;Torres Novas;1,63;0,8;6,9;0,7;83,2;17,6;7,4;60,5
Município;0510;Vila de Rei;1,08;1,0;10,4;3,6;80,1;14,6;7,9;45,3
Município;1420;Vila Nova da Barquinha;1,72;0,8;9,5;2,6;80,0;20,4;7,5;70,6
NUTS 3;16J;Beiras e Serra da Estrela;1,15;1,3;6,4;0,2;78,6;14,4;7,2;32,0
Município;0902;Almeida;0,87;1,4;7,6;0,6;71,3;13,8;6,8;34,9
Município;0501;Belmonte;1,22;1,4;7,3;1,1;79,9;15,6;6,2;45,7
Município;0903;Celorico da Beira;1,04;1,5;7,5;0,1;77,9;15,0;7,3;39,9
Município;0503;Covilhã;1,30;1,2;4,9;-0,6;79,8;14,9;7,8;30,5
Município;0904;Figueira de Castelo Rodrigo;0,94;1,0;7,6;-0,3;66,0;12,4;8,7;32,7
Município;0905;Fornos de Algodres;1,11;1,3;6,9;1,2;76,3;14,8;7,3;23,9
Município;0504;Fundão;1,18;1,5;6,9;0,7;75,7;14,7;6,7;34,6
Município;0906;Gouveia;1,09;1,8;8,0;0,6;77,0;14,9;7,1;30,6
Município;0907;Guarda;1,41;0,9;5,3;0,0;82,8;14,0;6,9;30,1
Município;0908;Manteigas;1,06;1,2;7,8;0,2;69,1;13,3;7,1;37,8
Município;0909;Mêda;0,92;2,5;6,9;0,6;72,8;13,4;7,6;33,0
Município;0910;Pinhel;1,00;1,0;7,3;-0,3;72,4;14,0;6,3;37,2
Município;0911;Sabugal;0,72;2,3;7,9;1,9;73,5;14,0;7,0;35,3
Município;0912;Seia;1,23;1,1;6,7;0,5;82,0;14,3;7,5;30,9
Município;0913;Trancoso;0,99;1,6;8,5;0,1;78,1;13,9;6,9;47,1
NUTS 2;17;Área Metropolitana de Lisboa;1,92;1,7;8,1;-0,7;61,3;25,9;15,8;47,3
NUTS 3;170;Área Metropolitana de Lisboa;1,92;1,7;8,1;-0,7;61,3;25,9;15,8;47,3
Município;1502;Alcochete;2,09;1,5;10,7;0,6;68,2;26,1;11,6;51,3
Município;1503;Almada;1,75;1,7;8,2;-0,2;55,0;29,7;21,5;49,7
Município;1115;Amadora;1,97;1,7;9,0;-1,5;54,7;25,7;22,2;43,1
Município;1504;Barreiro;1,88;1,4;8,3;-0,1;49,0;35,9;21,8;62,3
Município;1105;Cascais;1,94;2,5;6,5;-0,9;72,5;24,7;10,4;50,6
Município;1106;Lisboa;1,71;2,4;7,1;-3,1;50,9;21,0;19,5;37,4
Município;1107;Loures;2,06;1,4;8,7;-0,4;63,0;25,7;15,1;47,7
Município;1109;Mafra;1,93;1,3;11,0;1,8;78,8;25,0;7,7;52,0
Município;1506;Moita;1,92;1,5;8,8;1,4;56,7;32,2;15,2;61,3
Município;1507;Montijo;2,00;2,0;8,9;0,9;68,3;25,3;11,2;52,2
Município;1116;Odivelas;2,06;1,6;8,1;-1,3;60,9;26,2;17,9;45,1
Município;1110;Oeiras;1,98;1,5;8,5;-1,0;69,3;24,0;11,3;47,1
Município;1508;Palmela;1,99;1,3;11,6;2,6;71,5;25,7;10,9;50,2
Município;1510;Seixal;2,01;1,5;8,4;1,1;57,6;31,6;21,1;53,2
Município;1511;Sesimbra;1,58;1,2;9,0;1,7;69,9;28,2;12,2;57,0
Município;1512;Setúbal;1,95;1,4;7,5;0,3;65,7;23,2;12,6;48,0
Município;1111;Sintra;2,09;1,6;7,3;-0,1;64,2;27,0;15,6;49,6
Município;1114;Vila Franca de Xira;2,11;1,1;8,6;-0,3;64,3;27,2;14,2;48,8
NUTS 2;18;Alentejo;1,49;1,1;6,9;0,7;73,4;17,1;8,5;38,5
NUTS 3;181;Alentejo Litoral;1,36;2,4;5,8;0,3;67,6;15,4;9,0;24,4
Município;1501;Alcácer do Sal;1,25;0,9;6,4;-0,5;71,2;17,5;10,2;38,6
Município;1505;Grândola;1,10;0,9;5,5;0,6;70,3;16,8;8,4;39,7
Município;0211;Odemira;1,33;5,6;5,3;-0,1;57,6;16,0;11,4;22,1
Município;1509;Santiago do Cacém;1,50;1,0;6,0;0,7;74,9;15,4;7,5;25,6
Município;1513;Sines;1,64;0,8;6,3;0,5;71,2;11,6;7,5;17,4
NUTS 3;184;Baixo Alentejo;1,35;1,2;6,5;0,3;68,6;15,0;8,1;28,0
Município;0201;Aljustrel;1,51;1,4;6,4;0,7;69,0;15,9;9,9;40,9
Município;0202;Almodôvar;1,20;0,7;7,2;1,0;62,7;15,4;8,1;21,9
Município;0203;Alvito;1,30;0,7;10,3;2,7;59,2;17,7;8,4;29,3
Município;0204;Barrancos;1,12;0,3;6,3;-0,1;57,3;12,9;9,6;42,2
Município;0205;Beja;1,66;1,1;5,3;-0,6;73,9;13,9;8,0;27,0
Município;0206;Castro Verde;1,41;1,1;5,4;-0,2;66,2;15,3;7,9;23,0
Município;0207;Cuba;1,48;0,7;8,8;1,5;69,7;16,2;6,3;23,8
Município;0208;Ferreira do Alentejo;1,46;3,0;6,5;0,5;63,3;16,7;10,2;24,4
Município;0209;Mértola;0,72;0,7;9,2;1,2;67,6;15,5;7,5;21,7
Município;0210;Moura;1,28;0,6;5,9;0,4;64,7;13,9;7,8;33,0
Município;0212;Ourique;1,13;1,1;9,2;0,9;68,1;14,6;7,3;23,7
Município;0213;Serpa;1,31;1,5;5,8;0,6;66,2;15,7;7,3;31,5
Município;0214;Vidigueira;1,34;0,7;9,0;0,3;72,3;15,9;7,3;25,6
NUTS 3;185;Lezíria do Tejo;1,72;1,0;7,7;1,2;77,0;21,0;9,2;53,5
Município;1403;Almeirim;1,81;1,1;6,4;0,6;77,5;19,7;8,8;51,6
Município;1404;Alpiarça;1,74;1,1;8,7;2,0;79,1;19,3;8,4;58,1
Município;1103;Azambuja;1,79;1,1;8,9;0,7;70,5;24,2;11,3;55,0
Município;1405;Benavente;1,97;1,1;8,0;1,9;76,8;21,9;8,3;54,2
Município;1406;Cartaxo;1,75;1,0;8,2;1,7;76,7;23,2;8,8;58,3
Município;1407;Chamusca;1,42;0,8;8,6;0,5;74,8;19,5;7,6;52,0
Município;1409;Coruche;1,45;0,5;7,8;0,8;78,5;21,5;11,2;45,7
Município;1412;Golegã;1,55;0,9;7,9;0,7;73,1;18,7;7,6;59,1
Município;1414;Rio Maior;1,72;1,3;7,2;0,7;80,4;16,7;7,7;34,1
Município;1415;Salvaterra de Magos;1,82;0,9;8,1;2,8;78,5;24,1;10,9;49,4
Município;1416;Santarém;1,69;1,1;7,1;1,0;77,7;19,7;9,1;56,3
NUTS 3;186;Alto Alentejo;1,29;0,5;6,6;0,6;73,7;14,1;7,6;27,5
Município;1201;Alter do Chão;1,01;0,9;9,2;1,1;61,9;14,1;6,8;30,8
Município;1202;Arronches;1,10;0,5;7,5;1,1;68,5;14,6;7,1;30,0
